"term","estimate","std.error","conf.low","conf.up"
"EHF-XB7S-2019",34,NA,NA,NA
"EHF-XB7S-2021",35,NA,NA,NA
"EHF-XB7S-2024",36,NA,NA,NA
"EHR-1-2019",37,NA,NA,NA
"EHR-1-2021",38,NA,NA,NA
"EHR-1-2024",39,NA,NA,NA
"EHR-XB1N-2019",40,NA,NA,NA
"EHR-XB1N-2021",41,NA,NA,NA
"EHR-XB1N-2024",42,NA,NA,NA
"EHR-XB2N-2019",43,NA,NA,NA
"EHR-XB2N-2021",44,NA,NA,NA
"EHR-XB2N-2024",45,NA,NA,NA
"EHT-XA5S-2019",46,NA,NA,NA
"EHT-XA5S-2021",47,NA,NA,NA
"EHT-XA5S-2024",48,NA,NA,NA
"EHT-XB5S-2021",49,NA,NA,NA
"EHT-XB5S-2024",50,NA,NA,NA
"EHT-XB6S-2021",51,NA,NA,NA
"EHT-XB6S-2024",52,NA,NA,NA
"EHT-XC5S-2021",53,NA,NA,NA
"EHT-XC5S-2024",54,NA,NA,NA
"EWF-XA1N-2019",55,NA,NA,NA
"EWF-XA1N-2021",56,NA,NA,NA
"EWF-XA1N-2024",57,NA,NA,NA
"EWR-1-2019",58,NA,NA,NA
"EWR-1-2021",59,NA,NA,NA
"EWR-1-2024",60,NA,NA,NA
"EWR-XB3N-2019",61,NA,NA,NA
"EWR-XB3N-2021",62,NA,NA,NA
"EWR-XB3N-2024",63,NA,NA,NA
"EWR-XB4N-2019",64,NA,NA,NA
"EWR-XB4N-2021",65,NA,NA,NA
"EWR-XB4N-2024",66,NA,NA,NA
"EWT-1-2019",67,NA,NA,NA
"EWT-1-2021",68,NA,NA,NA
"EWT-1-2024",69,NA,NA,NA
"KEF-1-2019",70,NA,NA,NA
"KEF-1-2021",71,NA,NA,NA
"KEF-1-2024",72,NA,NA,NA
"KER-1-2019",73,NA,NA,NA
"KER-1-2021",74,NA,NA,NA
"KER-1-2024",75,NA,NA,NA
"KER-XD5N-2019",76,NA,NA,NA
"KER-XD5N-2021",77,NA,NA,NA
"KER-XD5N-2024",78,NA,NA,NA
"KER-XE3S-2019",79,NA,NA,NA
"KER-XE3S-2021",80,NA,NA,NA
"KER-XE3S-2024",81,NA,NA,NA
"KET-1-2019",82,NA,NA,NA
"KET-1-2021",83,NA,NA,NA
"KET-1-2024",84,NA,NA,NA
"KFF-XD6S-2019",85,NA,NA,NA
"KFF-XD6S-2021",86,NA,NA,NA
"KFF-XD6S-2024",87,NA,NA,NA
"KFR-XE1S-2019",88,NA,NA,NA
"KFR-XE1S-2021",89,NA,NA,NA
"KFR-XE1S-2024",90,NA,NA,NA
"KFR-XE2S-2019",91,NA,NA,NA
"KFR-XE2S-2021",92,NA,NA,NA
"KFR-XE2S-2024",93,NA,NA,NA
"KFT-XD3S-2019",94,NA,NA,NA
"KFT-XD3S-2024",95,NA,NA,NA
"KHF-1-2019",96,NA,NA,NA
"KHF-1-2021",97,NA,NA,NA
"KHF-1-2024",98,NA,NA,NA
"KHF-XD4S-2019",99,NA,NA,NA
"KHF-XD4S-2021",100,NA,NA,NA
"KHF-XD4S-2024",101,NA,NA,NA
"KHR-1-2019",102,NA,NA,NA
"KHR-1-2021",103,NA,NA,NA
"KHR-1-2024",104,NA,NA,NA
"KHR-XD1N-2019",105,NA,NA,NA
"KHR-XD1N-2021",106,NA,NA,NA
"KHR-XD1N-2024",107,NA,NA,NA
"KHR-XD1S-2019",108,NA,NA,NA
"KHR-XD1S-2021",109,NA,NA,NA
"KHR-XD1S-2024",110,NA,NA,NA
"KHT-XD6N-2019",111,NA,NA,NA
"KHT-XD6N-2021",112,NA,NA,NA
"KHT-XD6N-2024",113,NA,NA,NA
"KHT-XE4S-2019",114,NA,NA,NA
"KHT-XE4S-2021",115,NA,NA,NA
"KHT-XE4S-2024",116,NA,NA,NA
"KHT-XE5S-2019",117,NA,NA,NA
"KHT-XE5S-2021",118,NA,NA,NA
"KHT-XE5S-2024",119,NA,NA,NA
"KHT-XE6S-2019",120,NA,NA,NA
"KHT-XE6S-2021",121,NA,NA,NA
"KHT-XE6S-2024",122,NA,NA,NA
"KWF-1-2019",123,NA,NA,NA
"KWF-1-2021",124,NA,NA,NA
"KWF-1-2024",125,NA,NA,NA
"KWF-XE8S-2019",126,NA,NA,NA
"KWF-XE8S-2021",127,NA,NA,NA
"KWF-XE8S-2024",128,NA,NA,NA
"KWR-1-2019",129,NA,NA,NA
"KWR-1-2021",130,NA,NA,NA
"KWR-1-2024",131,NA,NA,NA
"KWR-XE1N-2019",132,NA,NA,NA
"KWR-XE1N-2021",133,NA,NA,NA
"KWR-XE1N-2024",134,NA,NA,NA
"KWT-1-2019",135,NA,NA,NA
"KWT-1-2021",136,NA,NA,NA
"KWT-1-2024",137,NA,NA,NA
"LET-1-2019",138,NA,NA,NA
"LET-1-2021",139,NA,NA,NA
"LET-1-2024",140,NA,NA,NA
"LHT-1-2019",141,NA,NA,NA
"LHT-1-2021",142,NA,NA,NA
"LHT-1-2024",143,NA,NA,NA
"LWT-1-2019",144,NA,NA,NA
"LWT-1-2021",145,NA,NA,NA
"LWT-1-2024",146,NA,NA,NA
